
=== Літери з пробілами  ===
Символ Кількість  % від загального
      113782         17.438%
о     61239           9.385%
а     45188           6.925%
е     42479           6.510%
и     35801           5.487%
н     35106           5.380%
т     30595           4.689%
с     28107           4.308%
л     27267           4.179%
в     24799           3.801%
р     24551           3.763%
к     19322           2.961%
д     16381           2.511%
м     15922           2.440%
у     15443           2.367%
п     13839           2.121%
я     12471           1.911%
г     11170           1.712%
ь     10491           1.608%
ы     10224           1.567%
з     9594            1.470%
б     9304            1.426%
ч     7342            1.125%
й     6205            0.951%
ж     5457            0.836%
ш     5087            0.780%
х     4595            0.704%
ю     3494            0.535%
ц     2179            0.334%
э     1629            0.250%
щ     1511            0.232%
ф     1206            0.185%
ё     431             0.066%
ъ     283             0.043%

=== Літери без пробілів  ===
Символ Кількість  % від загального
о     61239          11.368%
а     45188           8.388%
е     42479           7.885%
и     35801           6.646%
н     35106           6.517%
т     30595           5.679%
с     28107           5.217%
л     27267           5.062%
в     24799           4.603%
р     24551           4.557%
к     19322           3.587%
д     16381           3.041%
м     15922           2.956%
у     15443           2.867%
п     13839           2.569%
я     12471           2.315%
г     11170           2.073%
ь     10491           1.947%
ы     10224           1.898%
з     9594            1.781%
б     9304            1.727%
ч     7342            1.363%
й     6205            1.152%
ж     5457            1.013%
ш     5087            0.944%
х     4595            0.853%
ю     3494            0.649%
ц     2179            0.404%
э     1629            0.302%
щ     1511            0.280%
ф     1206            0.224%
ё     431             0.080%
ъ     283             0.053%

=== Біграми з пробілами  ===
Символ Кількість  % від загального
о     13307           2.039%
и     11383           1.745%
а     10591           1.623%
      10425           1.598%
е     10028           1.537%
 с    9856            1.511%
 п    9761            1.496%
 в    9602            1.472%
 н    9346            1.432%
то    8486            1.301%
 о    7673            1.176%
я     7092            1.087%
 к    7046            1.080%
 и    6823            1.046%
ст    6661            1.021%
ь     6600            1.012%
на    6546            1.003%
го    5753            0.882%
ал    5671            0.869%
не    5541            0.849%
по    5451            0.835%
но    5336            0.818%
ра    5328            0.817%
ко    5257            0.806%
ов    5129            0.786%
л     5031            0.771%
й     4884            0.749%
ка    4809            0.737%
 б    4698            0.720%
м     4669            0.716%
во    4471            0.685%
 д    4392            0.673%
ро    4381            0.671%
 т    4331            0.664%
ер    4330            0.664%
ол    4313            0.661%
ен    4291            0.658%
он    4282            0.656%
от    4279            0.656%
ни    4206            0.645%
ос    4152            0.636%
у     4132            0.633%
ла    4107            0.629%
ли    4049            0.621%
ло    3997            0.613%
ор    3949            0.605%
в     3908            0.599%
ел    3802            0.583%
ре    3801            0.583%
пр    3796            0.582%
ва    3703            0.568%
 м    3654            0.560%
за    3475            0.533%
та    3438            0.527%
ри    3324            0.509%
 г    3288            0.504%
ан    3275            0.502%
 ч    3269            0.501%
ил    3136            0.481%
к     3135            0.480%
ть    3129            0.480%
ом    3092            0.474%
ат    2990            0.458%
ск    2982            0.457%
ог    2966            0.455%
т     2923            0.448%
те    2913            0.446%
н     2858            0.438%
од    2844            0.436%
 р    2771            0.425%
ы     2750            0.421%
ак    2742            0.420%
де    2737            0.419%
ве    2675            0.410%
 з    2609            0.400%
да    2576            0.395%
аз    2554            0.391%
 е    2441            0.374%
 у    2415            0.370%
ем    2389            0.366%
ас    2388            0.366%
же    2373            0.364%
ле    2339            0.358%
ой    2295            0.352%
ет    2277            0.349%
бы    2277            0.349%
мо    2245            0.344%
до    2238            0.343%
ль    2206            0.338%
ми    2204            0.338%
ес    2198            0.337%
ав    2191            0.336%
чт    2182            0.334%
ти    2143            0.328%
ю     2140            0.328%
ег    2138            0.328%
ня    2137            0.328%
ит    2109            0.323%
сь    2109            0.323%
ви    2095            0.321%
ин    2037            0.312%
х     1994            0.306%
ру    1953            0.299%
об    1950            0.299%
ны    1944            0.298%
с     1942            0.298%
ся    1942            0.298%
вс    1903            0.292%
че    1887            0.289%
 а    1882            0.288%
нн    1830            0.280%
им    1803            0.276%
тр    1795            0.275%
ис    1783            0.273%
